GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1211	77	159	195	194	87	172	366	108	168	144	132	63
jgi.p|Debha1|1212	9	20	18	29	16	21	64	31	21	13	26	8
jgi.p|Debha1|1213	10	38	37	71	30	38	104	93	50	28	38	20
jgi.p|Debha1|1214	20	60	53	41	11	32	27	15	18	32	21	21
jgi.p|Debha1|1215	189	348	574	381	169	265	367	116	203	366	404	174
jgi.p|Debha1|1216	1014	2201	3086	1969	1931	1454	2223	907	1016	1959	2180	940
jgi.p|Debha1|1217	38	100	140	114	50	70	754	181	283	174	142	69
jgi.p|Debha1|1218	348	549	1108	437	364	836	461	182	237	891	920	491
jgi.p|Debha1|1219	7	17	18	15	11	25	124	49	39	14	6	7
jgi.p|Debha1|122	2917	4274	8180	4233	2982	4344	5024	1959	2704	5103	5895	2729
jgi.p|Debha1|1220	232	259	565	248	165	257	1816	371	822	414	405	207
jgi.p|Debha1|1221	2595	3577	7689	3868	2116	5519	10872	2009	4658	5967	6176	3128
jgi.p|Debha1|1222	123	133	280	198	103	167	2675	218	928	151	207	109
jgi.p|Debha1|1223	7	31	39	35	12	23	13	3	8	16	27	12
jgi.p|Debha1|1224	0	14	19	17	14	15	6	5	2	3	2	2
jgi.p|Debha1|1225	96	282	284	304	113	211	780	232	401	246	230	111
jgi.p|Debha1|1226	5	31	51	41	12	13	78	16	38	26	32	16
jgi.p|Debha1|1227	345	364	875	395	205	480	4592	779	1682	631	630	320
jgi.p|Debha1|1228	154	150	389	182	110	205	1061	204	423	344	370	193
jgi.p|Debha1|1229	14	33	35	39	15	39	231	48	110	47	57	22
jgi.p|Debha1|123	50	173	170	212	106	174	196	144	92	156	111	55
jgi.p|Debha1|1230	29	141	68	122	42	62	74	60	33	47	48	17
jgi.p|Debha1|1231	15376	60057	62576	65939	27306	50183	67760	45261	28823	32136	39969	18207
jgi.p|Debha1|1232	6	31	23	21	29	20	8	1	3	24	11	17
jgi.p|Debha1|1233	27	56	37	52	19	62	72	37	30	66	75	37
jgi.p|Debha1|1234	184	187	378	201	139	186	897	234	380	266	306	116
jgi.p|Debha1|1235	644	1264	2219	1296	719	1802	1666	454	852	1848	1905	918
jgi.p|Debha1|1236	3946	13716	15870	16284	8945	23301	9973	4904	5519	10960	14027	6487
jgi.p|Debha1|1237	9713	37278	30517	37619	24750	21273	3522	3540	2174	17443	23153	9163
jgi.p|Debha1|1238	57	150	275	150	128	208	979	440	438	271	244	106
jgi.p|Debha1|1239	25	31	55	28	19	33	297	100	130	41	63	16
jgi.p|Debha1|124	1930	2181	5535	2165	1321	2934	9941	2372	4535	3809	4238	2014
jgi.p|Debha1|1240	374	611	890	595	481	567	1668	770	766	1056	1004	395
jgi.p|Debha1|1241	18	51	66	54	35	34	260	104	112	49	49	25
jgi.p|Debha1|1242	295	294	592	354	175	418	1615	405	709	565	542	278
jgi.p|Debha1|1243	4905	8038	16446	9449	4965	15176	12112	4205	4759	14907	15359	7000
jgi.p|Debha1|1244	1445	4213	4887	4135	2304	4997	7250	2696	3891	3802	4202	1959
jgi.p|Debha1|1245	84	270	347	289	126	293	424	214	199	179	216	145
jgi.p|Debha1|1246	221	202	456	281	110	161	494	93	229	348	328	143
jgi.p|Debha1|1247	94	113	191	139	88	149	1158	238	440	155	162	85
jgi.p|Debha1|1248	23852	33082	74724	37709	21545	49853	19841	6128	9822	56924	62420	29591
jgi.p|Debha1|1249	9	17	16	13	3	19	3	0	3	12	6	10
jgi.p|Debha1|125	1643	1550	3357	1609	1112	2288	4331	906	1852	3254	3457	1738
jgi.p|Debha1|1250	867	1320	1974	1147	666	1082	5055	1040	2199	1625	1713	849
jgi.p|Debha1|1251	1	14	5	21	4	8	22	7	7	3	8	0
jgi.p|Debha1|1252	11	79	48	79	24	32	97	49	59	34	15	13
jgi.p|Debha1|1253	20	59	92	81	48	42	239	97	78	80	62	43
jgi.p|Debha1|1254	186	180	479	234	127	272	2479	463	1015	524	515	265
jgi.p|Debha1|1255	286	265	520	254	131	285	3390	710	1594	604	555	253
jgi.p|Debha1|1256	1782	3147	4793	3475	1513	2627	50055	8242	18439	4915	4422	2227
jgi.p|Debha1|1257	6	11	15	4	1	10	16	3	4	5	8	4
